year,hour,obs,D1,D7,D30,D365
1976,0,-10,,,,
1976,1,-13,,,,
1976,2,,,,,
1976,3,-20,,,,
1976,4,-17,,,,
1976,5,,,,,
1976,6,-10,,,,
1976,7,-7,,,,
1976,8,,,,,
1976,9,0,,,,
1976,10,0,,,,
1976,11,,,,,
1976,12,0,,,,
1976,13,-3,,,,
1976,14,,,,,
1976,15,-10,,,,
1976,16,-10,,,,
1976,17,,,,,
1976,18,-10,,,,
1976,19,-10,,,,
1976,20,,,,,
1976,21,-10,,,,
1976,22,-13,,,,
1976,23,,,,,
1977,0,10,,,,
1977,1,3,,,,
1977,2,,,,,
1977,3,-10,,,,
1977,4,-7,,,,
1977,5,,,,,
1977,6,0,,,,
1977,7,3,,,,
1977,8,,,,,
1977,9,10,,,,
1977,10,13,,,,
1977,11,,,,,
1977,12,20,,,,
1977,13,20,,,,
1977,14,,,,,
1977,15,20,,,,
1977,16,17,,,,
1977,17,,,,,
1977,18,10,,,,
1977,19,10,,,,
1977,20,,,,,
1977,21,10,,,,
1977,22,8,,,,
1977,23,,,,,
1978,0,,,,,
1978,1,,,,,
1978,2,,,,,
1978,3,,,,,
1978,4,,,,,
1978,5,,,,,
1978,6,-10,,,,
1978,7,-8,,,,
1978,8,,,,,
1978,9,,,,,
1978,10,,,,,
1978,11,,,,,
1978,12,0,,,,
1978,13,-3,,,,
1978,14,,,,,
1978,15,-10,,,,
1978,16,-10,,,,
1978,17,,,,,
1978,18,-10,,,,
1978,19,-13,,,,
1978,20,,,,,
1978,21,-20,,,,
1978,22,-20,,,,
1978,23,,,,,
1979,0,10,,,,
1979,1,10,,,,
1979,2,,,,,
1979,3,10,,,,
1979,4,20,,,,
1979,5,,,,,
1979,6,40,,,,
1979,7,40,,,,
1979,8,,,,,
1979,9,42,,,,
1979,10,,,,,
1979,11,,,,,
1979,12,50,,,,
1979,13,50,,,,
1979,14,,,,,
1979,15,50,,,,
1979,16,47,,,,
1979,17,,,,,
1979,18,40,,,,
1979,19,37,,,,
1979,20,,,,,
1979,21,30,,,,
1979,22,27,,,,
1979,23,,,,,
1980,0,10,,,,
1980,1,10,,,,
1980,2,,,,,
1980,3,10,,,,
1980,4,13,,,,
1980,5,,,,,
1980,6,20,,,,
1980,7,23,,,,
1980,8,,,,,
1980,9,30,,,,
1980,10,33,,,,
1980,11,,,,,
