YHM,temp
20200000,+0217
20200052,+0200
20200152,+0189
20200252,+0178
20200352,+0172
20200452,+0172
20200552,+0167
20200600,+0167
20200652,+0161
20200752,+0156
20200852,+0150
20200952,+0139
20201052,+0128
20201152,+0117
20201200,+0117
20201252,+0111
20201352,+0106
20201452,+0117
20201552,+0133
20201652,+0139
20201752,+0150
20201800,+0150
20201852,+0156
20201952,+0161
20202052,+0161
20202142,+0161
20202152,+0161
20202252,+0156
20202352,+0144
20210000,+0194
20210052,+0183
20210152,+0178
20210252,+0172
20210341,+0172
20210352,+0172
20210452,+0178
20210516,+0178
20210532,+0178
20210552,+0178
20210600,+0178
20210640,+0178
20210650,+0180
20210652,+0178
20210752,+0178
20210809,+0172
20210815,+0172
20210852,+0178
20210952,+0178
20211052,+0172
20211103,+0172
20211131,+0172
20211152,+0167
20211200,+0167
20211252,+0172
20211352,+0172
20211423,+0172
20211437,+0172
20211446,+0170
20211450,+0170
20211452,+0167
20211533,+0172
20211552,+0172
20211650,+0170
20211652,+0172
20211752,+0178
20211800,+0178
20211821,+0178
20211852,+0178
20211922,+0189
20211952,+0194
20212034,+0200
20212052,+0206
20212152,+0206
20212252,+0206
20212352,+0194
20220000,+0117
20220052,+0100
20220152,+0094
20220252,+0072
20220352,+0083
20220452,+0078
20220552,+0072
20220600,+0072
20220652,+0072
20220752,+0056
20220852,+0050
20220952,+0044
20221052,+0033
20221152,+0039
20221200,+0039
20221252,+0089
20221352,+0128
20221452,+0150
20221552,+0172
20221652,+0189
20221752,+0200
20221800,+0200
20221852,+0211
20221952,+0222
20222052,+0228
20222152,+0228
20222252,+0228
20222352,+0211
