year,hour,obs,D1,D7,D30,D365
1973,0,,,,,
1973,1,,,,,
1973,2,,,,,
1973,3,,,,,
1973,4,,,,,
1973,5,,,,,
1973,6,,,,,
1973,7,,,,,
1973,8,,,,,
1973,9,,,,,
1973,10,,,,,
1973,11,,,,,
1973,12,,,,,
1973,13,,,,,
1973,14,,,,,
1973,15,,,,,
1973,16,,,,,
1973,17,,,,,
1973,18,,,,,
1973,19,,,,,
1973,20,,,,,
1973,21,,,,,
1973,22,,,,,
1973,23,,,,,
1974,0,,,,,
1974,1,,,,,
1974,2,,,,,
1974,3,,,,,
1974,4,,,,,
1974,5,,,,,
1974,6,,,,,
1974,7,,,,,
1974,8,,,,,
1974,9,,,,,
1974,10,,,,,
1974,11,,,,,
1974,12,,,,,
1974,13,,,,,
1974,14,,,,,
1974,15,,,,,
1974,16,,,,,
1974,17,,,,,
1974,18,,,,,
1974,19,,,,,
1974,20,,,,,
1974,21,,,,,
1974,22,,,,,
1974,23,,,,,
1975,0,-210,,,,
1975,1,-213,,,,
1975,2,,,,,
1975,3,-220,,,,
1975,4,-223,,,,
1975,5,,,,,
1975,6,-230,,,,
1975,7,-230,,,,
1975,8,,,,,
1975,9,-230,,,,
1975,10,-232,,,,
1975,11,,,,,
1975,12,,,,,
1975,13,,,,,
1975,14,,,,,
1975,15,,,,,
1975,16,,,,,
1975,17,,,,,
1975,18,-250,,,,
1975,19,-257,,,,
1975,20,,,,,
1975,21,-270,,,,
1975,22,-270,,,,
1975,23,,,,,
1976,0,10,,,,
1976,1,10,,,,
1976,2,,,,,
1976,3,10,,,,
1976,4,10,,,,
1976,5,,,,,
1976,6,10,,,,
1976,7,10,,,,
1976,8,,,,,
1976,9,10,,,,
1976,10,10,,,,
1976,11,,,,,
1976,12,10,,,,
1976,13,10,,,,
1976,14,,,,,
1976,15,10,,,,
1976,16,7,,,,
1976,17,,,,,
1976,18,0,,,,
1976,19,-3,,,,
1976,20,,,,,
1976,21,-10,,,,
1976,22,-7,,,,
1976,23,,,,,
1977,0,-170,,,,
1977,1,-170,,,,
1977,2,,,,,
1977,3,-170,,,,
1977,4,-167,,,,
1977,5,,,,,
1977,6,-160,,,,
1977,7,-160,,,,
1977,8,,,,,
1977,9,-160,,,,
1977,10,-160,,,,
1977,11,,,,,
1977,12,-160,,,,
1977,13,-140,,,,
1977,14,,,,,
1977,15,-100,,,,
1977,16,-98,,,,
1977,17,,,,,
1977,18,,,,,
1977,19,,,,,
1977,20,,,,,
1977,21,-90,,,,
1977,22,-77,,,,
1977,23,,,,,
1978,0,-100,,,,
1978,1,-97,,,,
1978,2,,,,,
1978,3,,,,,
1978,4,,,,,
1978,5,,,,,
1978,6,-80,,,,
1978,7,-82,,,,
1978,8,,,,,
1978,9,,,,,
1978,10,,,,,
1978,11,,,,,
1978,12,-90,,,,
1978,13,-87,,,,
1978,14,,,,,
1978,15,-80,,,,
1978,16,-83,,,,
1978,17,,,,,
1978,18,-90,,,,
1978,19,-90,,,,
1978,20,,,,,
1978,21,,,,,
1978,22,,,,,
1978,23,,,,,
1979,0,-40,,,,
1979,1,-37,,,,
1979,2,,,,,
1979,3,-30,,,,
1979,4,-33,,,,
1979,5,,,,,
1979,6,-40,,,,
1979,7,-40,,,,
1979,8,,,,,
1979,9,-40,,,,
1979,10,-40,,,,
1979,11,,,,,
1979,12,-40,,,,
1979,13,-40,,,,
1979,14,,,,,
1979,15,-40,,,,
1979,16,-40,,,,
1979,17,,,,,
1979,18,-40,,,,
1979,19,-43,,,,
1979,20,,,,,
1979,21,-50,,,,
1979,22,-50,,,,
1979,23,,,,,
1980,0,-150,,,,
1980,1,-150,,,,
1980,2,,,,,
1980,3,-150,,,,
1980,4,-153,,,,
1980,5,,,,,
1980,6,-160,,,,
1980,7,-163,,,,
1980,8,,,,,
1980,9,-170,,,,
1980,10,-170,,,,
1980,11,,,,,
1980,12,-170,,,,
1980,13,-170,,,,
1980,14,,,,,
1980,15,-170,,,,
1980,16,-167,,,,
1980,17,,,,,
1980,18,-160,,,,
1980,19,-160,,,,
1980,20,,,,,
1980,21,-160,,,,
1980,22,-160,,,,
1980,23,,,,,
1981,0,-240,,,,
1981,1,-240,,,,
1981,2,,,,,
1981,3,-240,,,,
1981,4,-240,,,,
1981,5,,,,,
1981,6,-240,,,,
1981,7,-240,,,,
1981,8,,,,,
1981,9,-240,,,,
1981,10,-247,,,,
1981,11,,,,,
1981,12,-260,,,,
1981,13,-263,,,,
1981,14,,,,,
1981,15,-270,,,,
1981,16,-267,,,,
1981,17,,,,,
1981,18,-260,,,,
1981,19,-257,,,,
1981,20,,,,,
1981,21,-250,,,,
1981,22,-250,,,,
1981,23,,,,,
1982,0,-159,,,,
1982,1,-157,,,,
1982,2,,,,,
1982,3,-153,,,,
1982,4,-154,,,,
1982,5,,,,,
1982,6,-155,,,,
1982,7,-156,,,,
1982,8,,,,,
1982,9,-158,,,,
1982,10,-162,,,,
1982,11,,,,,
1982,12,-170,,,,
1982,13,-167,,,,
1982,14,,,,,
1982,15,-160,,,,
1982,16,-164,,,,
1982,17,,,,,
1982,18,-173,,,,
1982,19,-172,,,,
1982,20,,,,,
1982,21,-171,,,,
1982,22,-177,,,,
1982,23,,,,,
1983,0,-117,,,,
1983,1,-118,,,,
1983,2,,,,,
1983,3,-121,,,,
1983,4,-122,,,,
1983,5,,,,,
1983,6,-125,,,,
1983,7,-127,,,,
1983,8,,,,,
1983,9,-132,,,,
1983,10,-146,,,,
1983,11,,,,,
1983,12,-173,,,,
1983,13,-181,,,,
1983,14,,,,,
1983,15,-196,,,,
1983,16,-193,,,,
1983,17,,,,,
1983,18,-187,,,,
1983,19,-186,,,,
1983,20,,,,,
1983,21,-185,,,,
1983,22,-182,,,,
1983,23,,,,,
1984,0,22,,,,
1984,1,21,,,,
1984,2,,,,,
1984,3,20,,,,
1984,4,19,,,,
1984,5,,,,,
1984,6,18,,,,
1984,7,15,,,,
1984,8,14,,,,
1984,9,17,,,,
1984,10,15,,,,
1984,11,,,,,
1984,12,7,,,,
1984,13,8,,,,
1984,14,10,,,,
1984,15,11,,,,
1984,16,-0,,,,
1984,17,,,,,
1984,18,-1,,,,
1984,19,-1,,,,
1984,20,,,,,
1984,21,,,,,
1984,22,,,,,
1984,23,,,,,
1985,0,-158,,,,
1985,1,-159,,,,
1985,2,-152,,,,
1985,3,-143,,,,
1985,4,-140,,,,
1985,5,-145,,,,
1985,6,-154,,,,
1985,7,-160,,,,
1985,8,-165,,,,
1985,9,-170,,,,
1985,10,-170,,,,
1985,11,-165,,,,
1985,12,-162,,,,
1985,13,-155,,,,
1985,14,-150,,,,
1985,15,-149,,,,
1985,16,-139,,,,
1985,17,,,,,
1985,18,-137,,,,
1985,19,-136,,,,
1985,20,,,,,
1985,21,-133,,,,
1985,22,-134,,,,
1985,23,,,,,
1986,0,-82,,,,
1986,1,-78,,,,
1986,2,,,,,
1986,3,-70,,,,
1986,4,-60,,,,
1986,5,,,,,
1986,6,-39,,,,
1986,7,-40,,,,
1986,8,-40,,,,
1986,9,-40,,,,
1986,10,-40,,,,
1986,11,-40,,,,
1986,12,-36,,,,
1986,13,-35,,,,
1986,14,-35,,,,
1986,15,-37,,,,
