year,hour,obs,D1,D7,D30,D365
1949,0,69,104,120,104,
1949,1,58,104,120,104,
1949,2,52,104,120,104,
1949,3,52,104,119,104,
1949,4,46,104,119,104,
1949,5,41,104,119,104,
1949,6,46,104,118,105,
1949,7,69,104,118,105,
1949,8,91,103,118,105,
1949,9,124,103,118,105,
1949,10,141,104,117,105,
1949,11,157,104,117,105,
1949,12,169,105,117,105,
1949,13,180,106,117,105,
1949,14,191,108,116,105,
1949,15,196,109,116,105,
1949,16,185,110,116,105,
1949,17,174,111,115,105,
1949,18,163,111,115,105,
1949,19,152,113,115,105,
1949,20,119,113,114,105,
1949,21,107,114,114,105,
1949,22,102,115,114,105,
1949,23,102,116,113,105,
1950,0,74,104,100,85,115
1950,1,74,103,100,85,115
1950,2,74,102,100,85,115
1950,3,74,101,100,85,115
1950,4,74,101,100,85,115
1950,5,52,100,100,85,115
1950,6,58,98,101,85,115
1950,7,63,98,101,85,115
1950,8,69,97,100,85,115
1950,9,69,96,100,85,115
1950,10,52,94,100,85,115
1950,11,80,92,100,85,115
1950,12,74,90,100,85,115
1950,13,80,88,99,85,115
1950,14,46,84,99,85,115
1950,15,58,81,99,84,115
1950,16,58,78,99,84,115
1950,17,41,74,98,84,115
1950,18,19,70,98,84,115
1950,19,30,66,98,84,115
1950,20,24,63,97,84,115
1950,21,24,60,97,84,115
1950,22,19,57,97,84,115
1950,23,13,54,96,84,115
1951,0,91,106,87,67,99
1951,1,80,108,87,67,99
1951,2,74,110,87,67,99
1951,3,69,111,88,68,99
1951,4,58,112,88,68,99
1951,5,52,113,88,68,99
1951,6,46,113,89,68,99
1951,7,63,113,89,68,99
1951,8,96,115,89,68,99
1951,9,130,118,89,68,99
1951,10,163,121,90,68,99
1951,11,185,124,90,68,99
1951,12,196,126,91,69,99
1951,13,207,128,92,69,99
1951,14,218,129,92,69,99
1951,15,218,131,93,69,99
1951,16,218,132,93,69,99
1951,17,218,133,94,69,99
1951,18,207,134,94,70,99
1951,19,191,135,95,70,99
1951,20,169,137,95,70,99
1951,21,146,137,96,70,99
1951,22,130,138,96,70,99
1951,23,102,139,96,70,99
1952,0,58,81,122,87,105
1952,1,41,80,122,87,105
1952,2,35,78,121,87,105
1952,3,35,77,121,87,105
1952,4,35,77,121,87,105
1952,5,30,76,121,87,105
1952,6,35,75,120,87,105
1952,7,46,74,120,87,105
1952,8,63,73,120,87,105
1952,9,96,73,120,87,105
1952,10,113,73,120,87,105
1952,11,107,73,119,87,105
1952,12,107,73,119,87,105
1952,13,124,74,118,87,105
1952,14,124,74,118,87,105
1952,15,124,75,117,88,105
1952,16,124,76,117,88,105
1952,17,119,77,116,88,105
1952,18,124,78,116,88,105
1952,19,113,79,115,88,105
1952,20,107,81,115,88,105
1952,21,85,81,115,88,105
1952,22,74,82,114,88,105
1952,23,69,83,114,88,105
1953,0,58,100,102,85,100
1953,1,46,99,102,85,100
1953,2,46,98,102,85,100
1953,3,46,98,102,85,100
1953,4,46,98,102,85,100
1953,5,46,98,101,86,100
1953,6,41,97,101,86,100
1953,7,35,96,101,86,100
1953,8,35,95,101,86,100
1953,9,63,95,100,86,100
1953,10,113,97,101,86,100
1953,11,157,100,101,86,100
1953,12,169,101,101,86,100
1953,13,180,102,102,86,100
1953,14,174,102,102,86,100
1953,15,174,102,102,86,100
1953,16,169,101,103,86,100
1953,17,157,101,103,86,100
1953,18,146,100,103,86,100
1953,19,135,101,103,86,100
1953,20,119,101,104,86,100
1953,21,107,101,104,86,100
1953,22,91,101,104,86,100
1953,23,91,102,104,86,100
1954,0,63,65,73,81,106
1954,1,63,66,73,81,106
1954,2,58,67,73,81,106
1954,3,63,69,73,81,106
1954,4,58,70,74,81,106
1954,5,58,72,74,81,106
1954,6,58,72,74,81,106
1954,7,58,73,74,81,106
1954,8,69,73,74,81,106
1954,9,74,74,74,81,106
1954,10,80,75,74,81,106
1954,11,91,75,75,81,106
1954,12,96,76,75,81,106
1954,13,107,77,75,81,106
1954,14,107,78,75,81,106
1954,15,107,78,75,81,106
1954,16,113,79,75,81,106
1954,17,107,79,75,81,106
1954,18,96,80,75,81,106
1954,19,91,80,75,81,106
1954,20,91,80,75,81,106
1954,21,74,80,75,81,106
1954,22,63,80,74,81,106
1954,23,52,79,74,81,106
1955,0,85,101,86,86,98
1955,1,91,103,86,86,98
1955,2,85,105,86,86,98
1955,3,80,107,87,86,98
1955,4,74,108,87,86,98
1955,5,58,109,87,86,98
1955,6,58,110,87,86,98
1955,7,63,110,88,86,98
1955,8,74,109,88,86,98
1955,9,80,108,88,86,98
1955,10,85,107,87,85,98
1955,11,102,106,87,85,98
1955,12,124,106,87,86,98
1955,13,130,105,87,86,98
1955,14,135,104,87,85,98
1955,15,141,104,87,85,98
1955,16,135,103,87,85,98
1955,17,130,103,87,85,98
1955,18,119,102,87,85,98
1955,19,102,100,87,85,98
1955,20,91,98,87,85,98
1955,21,85,97,87,85,98
1955,22,74,96,87,85,98
1955,23,69,95,87,85,98
1956,0,63,79,64,76,101
1956,1,58,81,65,76,101
1956,2,58,83,65,76,101
1956,3,46,84,65,76,101
1956,4,46,85,65,76,101
1956,5,52,87,65,76,101
1956,6,58,90,65,75,101
1956,7,69,92,66,75,101
1956,8,74,92,66,75,101
1956,9,85,93,66,75,101
1956,10,96,93,66,75,101
1956,11,113,93,67,75,101
1956,12,119,93,67,75,101
1956,13,124,92,67,75,101
1956,14,124,92,67,75,101
1956,15,119,91,68,75,101
1956,16,113,89,68,75,101
1956,17,102,88,68,75,101
1956,18,102,86,68,75,101
1956,19,91,85,68,75,101
1956,20,85,84,69,75,101
1956,21,85,85,69,75,101
1956,22,85,85,69,75,101
1956,23,80,85,69,75,101
1957,0,91,131,114,95,107
1957,1,85,131,115,95,107
1957,2,74,130,115,95,107
1957,3,74,130,115,95,107
1957,4,69,130,115,95,107
1957,5,63,129,115,95,107
1957,6,74,129,115,95,107
1957,7,80,129,115,96,107
1957,8,91,128,115,96,107
1957,9,107,128,115,96,107
1957,10,141,127,115,96,107
1957,11,152,127,115,96,107
1957,12,163,126,115,96,107
1957,13,169,126,115,96,107
1957,14,174,125,115,96,107
1957,15,174,124,115,96,107
1957,16,169,123,115,96,107
1957,17,163,122,115,96,107
1957,18,146,121,116,96,107
1957,19,130,120,116,96,107
1957,20,113,119,115,96,107
1957,21,102,118,115,96,107
1957,22,85,116,115,96,107
1957,23,74,115,115,96,107
1958,0,85,105,107,73,102
1958,1,74,105,107,73,102
1958,2,74,105,107,73,102
1958,3,74,106,107,73,102
1958,4,80,107,108,73,102
1958,5,80,109,108,73,102
1958,6,85,110,108,73,102
1958,7,91,111,109,73,102
