year,hour,obs,D1,D7,D30,D365
1932,0,167,,,,
1932,1,150,,,,
1932,2,148,,,,
1932,3,,,,,
1932,4,,,,,
1932,5,,,,,
1932,6,,,,,
1932,7,,,,,
1932,8,,,,,
1932,9,,,,,
1932,10,,,,,
1932,11,,,,,
1932,12,128,,,,
1932,13,139,,,,
1932,14,167,,,,
1932,15,200,,,,
1932,16,233,,,,
1932,17,239,,,,
1932,18,239,,,,
1932,19,233,,,,
1932,20,233,,,,
1932,21,222,,,,
1932,22,211,,,,
1932,23,194,,,,
1933,0,211,212,204,201,
1933,1,211,212,204,201,
1933,2,222,214,204,201,
1933,3,228,216,204,201,
1933,4,233,218,204,201,
1933,5,222,220,204,201,
1933,6,217,221,204,201,
1933,7,211,222,204,201,
1933,8,211,224,205,201,
1933,9,217,226,205,201,
1933,10,206,227,205,201,
1933,11,206,229,205,201,
1933,12,222,230,205,201,
1933,13,217,232,205,201,
1933,14,222,232,205,201,
1933,15,233,231,205,201,
1933,16,217,229,204,201,
1933,17,233,228,204,201,
1933,18,211,225,204,201,
1933,19,222,224,204,200,
1933,20,239,223,204,200,
1933,21,239,222,203,200,
1933,22,233,222,204,200,
1933,23,211,221,203,200,
1934,0,228,237,224,215,232
1934,1,211,236,224,215,232
1934,2,211,235,225,215,232
1934,3,200,234,225,215,232
1934,4,194,233,225,215,232
1934,5,206,232,226,215,232
1934,6,211,232,226,215,232
1934,7,206,232,226,215,232
1934,8,194,231,227,215,232
1934,9,189,231,227,215,232
1934,10,178,230,227,215,232
1934,11,178,229,228,215,232
1934,12,178,228,228,215,232
1934,13,189,228,229,215,232
1934,14,244,228,229,215,232
1934,15,256,228,229,215,232
1934,16,267,228,229,215,232
1934,17,272,228,230,215,232
1934,18,261,226,230,215,232
1934,19,250,225,229,215,232
1934,20,256,223,229,215,232
1934,21,239,221,229,215,232
1934,22,228,220,229,215,232
1934,23,222,220,229,215,232
1935,0,161,116,173,207,230
1935,1,144,118,172,207,230
1935,2,128,120,172,207,230
1935,3,117,122,172,207,230
1935,4,111,123,172,207,230
1935,5,111,125,172,207,230
1935,6,106,127,171,207,230
1935,7,106,130,171,206,230
1935,8,106,132,171,206,230
1935,9,106,135,171,206,230
1935,10,89,137,170,206,230
1935,11,89,139,170,206,230
1935,12,94,141,170,206,230
1935,13,100,143,169,206,230
1935,14,144,144,169,206,230
1935,15,144,144,169,205,230
1935,16,183,145,169,205,230
1935,17,200,145,169,205,230
1935,18,200,145,169,205,230
1935,19,217,145,169,205,230
1935,20,222,145,169,205,230
1935,21,222,146,169,205,230
1935,22,211,146,169,205,230
1935,23,200,146,169,205,230
1936,0,194,212,169,211,229
1936,1,189,212,169,211,229
1936,2,189,212,169,211,229
1936,3,189,212,170,211,229
1936,4,189,212,170,211,229
1936,5,189,212,170,211,229
1936,6,189,211,170,211,229
1936,7,178,211,170,211,229
1936,8,172,210,171,211,229
1936,9,172,209,171,211,229
1936,10,172,208,171,210,229
1936,11,167,206,171,210,229
1936,12,172,205,171,210,229
1936,13,172,204,171,210,229
1936,14,206,203,172,210,229
1936,15,250,204,172,210,229
1936,16,267,205,172,210,229
1936,17,278,206,172,210,229
1936,18,283,208,172,210,229
1936,19,272,209,172,210,229
1936,20,278,211,172,210,229
1936,21,272,212,172,210,229
1936,22,261,213,172,210,229
1936,23,233,214,172,210,229
1937,0,211,200,226,208,234
1937,1,206,200,226,208,234
1937,2,200,200,226,208,234
1937,3,189,199,226,208,234
1937,4,183,199,226,207,234
1937,5,183,199,226,207,234
1937,6,183,199,225,207,234
1937,7,183,199,225,207,234
1937,8,178,199,225,207,234
1937,9,178,199,225,207,234
1937,10,167,198,224,207,234
1937,11,156,198,224,207,234
1937,12,150,197,224,207,234
1937,13,150,196,223,207,234
1937,14,167,195,223,206,234
1937,15,178,194,222,206,234
1937,16,200,193,222,206,234
1937,17,217,193,222,206,234
1937,18,222,194,222,206,234
1937,19,228,194,222,206,234
1937,20,233,194,222,206,234
1937,21,233,194,222,206,234
1937,22,217,193,221,206,234
1937,23,183,191,221,206,234
1938,0,178,182,177,224,231
1938,1,178,182,177,224,231
1938,2,150,182,176,224,231
1938,3,133,179,176,224,231
1938,4,122,176,175,224,231
1938,5,117,174,175,224,231
1938,6,111,172,174,223,231
1938,7,111,170,174,223,231
1938,8,111,169,173,223,231
1938,9,122,168,173,223,231
1938,10,117,168,173,223,231
1938,11,111,167,173,223,231
1938,12,117,167,173,223,231
1938,13,128,167,173,223,231
1938,14,167,167,173,223,231
1938,15,228,168,173,223,231
1938,16,239,169,174,223,231
1938,17,239,169,174,223,231
1938,18,217,168,174,223,231
1938,19,244,168,174,222,231
1938,20,244,169,175,222,231
1938,21,239,169,175,222,231
1938,22,233,169,175,222,231
1938,23,211,169,175,222,231
1939,0,200,192,166,203,230
1939,1,194,192,166,203,230
1939,2,172,191,166,203,230
1939,3,194,192,167,203,230
1939,4,189,194,167,203,230
1939,5,183,195,168,203,230
1939,6,156,195,168,203,230
1939,7,156,195,168,203,230
1939,8,156,195,169,203,230
1939,9,139,195,169,203,230
1939,10,139,194,169,203,230
