place,ICAO,GHCN_ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN,(US)HCN_(US)CRN,WMO_ID,ISO_CODE,TZ
Atlanta,KATL,USW00013874,33.6297,-84.4422,308.2,GA,ATLANTA HARTSFIELD-JACKSON INT,,,72219,US,America/New_York
Boston,KBOS,USW00014739,42.3606,-71.0097,3.4,MA,BOSTON,,,72509,US,America/New_York
Charlottesville,KCHO,USW00093736,38.1375,-78.455,192.3,VA,CHARLOTTESVILLE ALBEMARLE AP,,,,US,America/New_York
Chicago,KORD,USW00094846,41.9603,-87.9317,204.8,IL,CHICAGO OHARE INTL AP,,,72530,US,America/Chicago
Houston,KIAH,USW00012960,29.9844,-95.3608,27.4,TX,HOUSTON INTERCONTINENTAL AP,,,72243,US,America/Chicago
Ithaca,KITH,USW00094761,42.4833,-76.4667,335.0,NY,ITHACA TOMPKINS CO,,,,US,America/New_York
London,EGLL,UKI0000EGLL,51.4775,-0.4614,25.3,,HEATHROW,,,,GB,Europe/London
Los Angeles,KLAX,USW00023174,33.9381,-118.3867,29.6,CA,LOS ANGELES INTL AP,,,72295,US,America/Los_Angeles
Massena,KMSS,USW00094725,44.9333,-74.8483,61.0,NY,MASSENA INTL AP,,,,US,America/New_York
Miami,KMIA,USW00012839,25.7881,-80.3169,1.5,FL,MIAMI INTL AP,,,72202,US,America/New_York
New York City,KJFK,USW00094789,40.6392,-73.7639,2.7,NY,JFK INTL AP,,,74486,US,America/New_York
Milwaukee,KMKE,USW00014839,42.955,-87.9044,203.3,WI,MILWAUKEE MITCHELL AP,,,72640,US,America/Chicago
Oklahoma City,KOKC,USW00013967,35.3883,-97.6003,389.8,OK,OKLAHOMA CY WILL ROGERS WORLD,,,72353,US,America/Chicago
Phoenix,KPHX,USW00023183,33.4278,-112.0036,339.2,AZ,PHOENIX AP,,,72278,US,America/Phoenix
Pittsburgh,KPIT,USW00094823,40.4847,-80.2144,341.1,PA,PITTSBURGH ASOS,,,72520,US,America/New_York
San Francisco,KSFO,USW00023234,37.6197,-122.3656,3.0,CA,SAN FRANCISCO INTL AP,,,72494,US,America/Los_Angeles
Svalbard,ENSB,SVI0000ENSB,78.2461,15.4656,26.8,,LONGYEAR,,,,SJ,Arctic/Longyearbyen
Svalbard,ENSB,SVMU0020108,78.22,15.52,465.0,,LONGYEARBYAN SVALBARD USSR (SP,,,,SJ,Arctic/Longyearbyen
Syracuse,KSYR,USW00014771,43.1111,-76.1039,125.0,NY,SYRACUSE HANCOCK INTL AP,,,72519,US,America/New_York
Tokyo,RJTT,JAI0000RJTT,35.5523,139.7797,10.7,,TOKYO INTL,,,,JP,Asia/Tokyo
Washington DC,KIAD,USW00093738,38.9347,-77.4472,89.6,VA,WASHINGTON DULLES INTL AP,,,72403,US,America/New_York
